key,mode,has_meta,clean_p2s,noisy_p2s,pred_p2s,pred_p2s_score,clean_to_noisy_ratio
shapenet/03642806/13f5cbc78856f977927930e64238782e,ref_gt,True,0.1237880066037178,0.12397637963294983,0.1245931088924408,0.0,0.9984805732366945
shapenet/03642806/13f5cbc78856f977927930e64238782e,meta,True,1.0116638429757963e-11,7.178573287092149e-05,2.0312052583904006e-05,71.70461069133714,1.409282600478395e-07
shapenet/03642806/13f5cbc78856f977927930e64238782e,none,True,0.1237880066037178,0.12397637963294983,0.1245931088924408,0.0,0.9984805732366945
shapenet/03642806/1a46d6683450f2dd46c0b76a60ee4644,ref_gt,True,0.1553550362586975,0.1556187868118286,0.15616744756698608,0.0,0.9983051496639026
shapenet/03642806/1a46d6683450f2dd46c0b76a60ee4644,meta,True,1.1444224040646489e-11,7.780494343023747e-05,1.9305887690279633e-05,75.18681096710785,1.4708864933380184e-07
shapenet/03642806/1a46d6683450f2dd46c0b76a60ee4644,none,True,0.1553550362586975,0.1556187868118286,0.15616744756698608,0.0,0.9983051496639026
shapenet/03642806/1bb2e873cfbef364cef0dab711014aa8,ref_gt,True,0.10228140652179718,0.10250557959079742,0.10260464996099472,0.0,0.997813064714183
shapenet/03642806/1bb2e873cfbef364cef0dab711014aa8,meta,True,5.322743981683864e-12,7.479279884137213e-05,2.599710387585219e-05,65.24116722655428,7.116653025611274e-08
shapenet/03642806/1bb2e873cfbef364cef0dab711014aa8,none,True,0.10228140652179718,0.10250557959079742,0.10260464996099472,0.0,0.997813064714183
shapenet/03642806/2134ad3fc25a6284193a4c984002ed32,ref_gt,True,0.12189901620149612,0.12192986160516739,0.12236514687538147,0.0,0.9997470233848772
shapenet/03642806/2134ad3fc25a6284193a4c984002ed32,meta,True,4.7081089027400935e-12,2.4378085072385147e-05,7.964737051224802e-06,67.32829084985413,1.931287420140032e-07
shapenet/03642806/2134ad3fc25a6284193a4c984002ed32,none,True,0.12189901620149612,0.12192986160516739,0.12236514687538147,0.0,0.9997470233848772
shapenet/03642806/283a115028fffe6e4e67e2e8459ebde,ref_gt,True,0.11868054419755936,0.11880258470773697,0.11873918026685715,0.053369580330087096,0.9989727453280765
shapenet/03642806/283a115028fffe6e4e67e2e8459ebde,meta,True,4.316578832656154e-13,6.675426266156137e-05,2.4854616640368477e-05,62.76699696859909,6.466371824883834e-09
shapenet/03642806/283a115028fffe6e4e67e2e8459ebde,none,True,0.11868054419755936,0.11880258470773697,0.11873918026685715,0.053369580330087096,0.9989727453280765
shapenet/03642806/28fbfd8b8c9c6f16e1e44e2fc05361d9,ref_gt,True,0.15211783349514008,0.15234552323818207,0.1532740294933319,0.0,0.9985054385701507
shapenet/03642806/28fbfd8b8c9c6f16e1e44e2fc05361d9,meta,True,8.50153541315235e-12,5.776052057626657e-05,2.1973643015371636e-05,61.95733210825585,1.4718592090815707e-07
shapenet/03642806/28fbfd8b8c9c6f16e1e44e2fc05361d9,none,True,0.15211783349514008,0.15234552323818207,0.1532740294933319,0.0,0.9985054385701507
shapenet/03642806/2d38fa685e71721986a7e0484f5238e4,ref_gt,True,0.13575832545757294,0.13601882755756378,0.13607658445835114,0.0,0.9980848085175518
shapenet/03642806/2d38fa685e71721986a7e0484f5238e4,meta,True,5.533122571232951e-12,9.822713764151558e-05,3.1430467060999945e-05,68.00225699774856,5.632987689640651e-08
shapenet/03642806/2d38fa685e71721986a7e0484f5238e4,none,True,0.13575832545757294,0.13601882755756378,0.13607658445835114,0.0,0.9980848085175518
shapenet/03642806/2d47af483371ff60672faaae04fc887,ref_gt,True,0.1944127380847931,0.1944202482700348,0.19557501375675201,0.0,0.9999613713833383
shapenet/03642806/2d47af483371ff60672faaae04fc887,meta,True,5.352681561605465e-15,2.3245664124260657e-05,1.103501290344866e-05,52.52872602623636,2.3026580496872383e-10
shapenet/03642806/2d47af483371ff60672faaae04fc887,none,True,0.1944127380847931,0.1944202482700348,0.19557501375675201,0.0,0.9999613713833383
shapenet/03642806/2f9cc3e20647ebb1cb8118818e564f96,ref_gt,True,0.11680302023887634,0.1170172244310379,0.11737862229347229,0.0,0.9981694644254034
shapenet/03642806/2f9cc3e20647ebb1cb8118818e564f96,meta,True,1.0568519021351367e-14,8.987319597508758e-05,3.876534537994303e-05,56.866621956240884,1.175936708012577e-10
shapenet/03642806/2f9cc3e20647ebb1cb8118818e564f96,none,True,0.11680302023887634,0.1170172244310379,0.11737862229347229,0.0,0.9981694644254034
shapenet/03642806/454a88f4b2fe4472f9cacf0b2853f40,ref_gt,True,0.18335318565368652,0.18355287611484528,0.18434426188468933,0.0,0.998912082091082
shapenet/03642806/454a88f4b2fe4472f9cacf0b2853f40,meta,True,3.799015355770985e-12,5.190213050809689e-05,1.2501031960709952e-05,75.91422194362569,7.319574974245666e-08
shapenet/03642806/454a88f4b2fe4472f9cacf0b2853f40,none,True,0.18335318565368652,0.18355287611484528,0.18434426188468933,0.0,0.998912082091082
